Country,ISO,Income,SuppliedTests
Namibia,NAM,Upper middle,140408
Nauru,NRU,High,
New Caledonia,NCL,High,
North Korea,PRK,Lower middle,
Palau,PLW,High,
Palestinian Territories,N/A,NA,
Scotland,N/A,NA,
Solomon Islands,SLB,Lower middle,
Taiwan,TWN,High,
Tonga,TON,Upper middle,
Turkmenistan,TKM,Upper middle,53184
Tuvalu,TUV,Upper middle,
Western Sahara,no ISO - W. Sah.,Low,
West Bank and Gaza,PSE,Lower middle,350368
Cabo Verde,CPV,Lower middle,68150
Golan Heights,no ISO - Golan H,NA,1300
UNHCR,UNHCR HQ,NA,447484
TOTAL,,,76815452
