country,date,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,source,status,url
Afghanistan,2021-10-12,NA,0,NA,NA,manually,pdf,http://covid.moph-dw.org/#/
Armenia,2021-10-12,NA,0,NA,NA,manually,automated,https://ncdc.am/coronavirus/confirmed-cases-by-days/
Bangladesh,2021-10-12,NA,0,NA,NA,manually,automated,https://corona.gov.bd/
Barbados,2021-10-12,347719,0,NA,NA,manually,automated,https://gisbarbados.gov.bb/covid-19/
Benin,2021-10-12,NA,0,NA,NA,manually,automated,https://www.gouv.bj/coronavirus/
Bhutan,2021-10-12,1172775,0,NA,NA,manually,image,https://www.facebook.com/MoHBhutan/
Bolivia,2021-10-12,2506840,0,NA,NA,manually,image,https://www.minsalud.gob.bo/
Brazil,2021-10-12,NA,0,NA,NA,manually,automated,https://viz.saude.gov.br/extensions/DEMAS_C19Insumos_TESTES/DEMAS_C19Insumos_TESTES.html
Brunei,2021-10-12,413169,0,NA,NA,manually,automated,http://www.moh.gov.bn/Lists/Latest%20news/AllItems.aspx
Bulgaria,2021-10-12,4990220,0,NA,NA,manually,automated,https://coronavirus.bg/
Cambodia,2021-10-12,NA,0,NA,NA,manually,automated,http://cdcmoh.gov.kh/
China,2021-10-12,NA,0,NA,NA,manually,without_information,NA
Colombia,2021-10-12,NA,0,NA,NA,manually,automated,https://infogram.com/panorama-general-1h7z2lgn3l9l4ow?live
Croatia,2021-10-12,2935176,0,NA,NA,manually,automated,https://www.koronavirus.hr/najnovije/ukupno-dosad-382-zarazene-osobe-u-hrvatskoj/35
Cuba,2021-10-12,10049157,0,NA,NA,manually,not_yet_automated,http://www.cubadebate.cu/?s=Cuba+reporta
Cyprus,2021-10-12,NA,0,NA,NA,manually,not_yet_automated_daily,https://covid19.ucy.ac.cy/
Denmark,2021-10-12,NA,0,NA,NA,manually,automated,https://www.sst.dk/en/english/corona-eng/status-of-the-epidemic/covid-19-updates-statistics-and-charts
Dominica,2021-10-12,81914,0,NA,NA,manually,image,https://www.facebook.com/SupportRooseveltSkerrit/photos
DominicanRepublic,2021-10-12,NA,0,NA,NA,manually,pdf,https://www.msp.gob.do/web/?page_id=6948#1586785071781-f0e8c057-f5f4
FaroeIslands,2021-10-12,445932,-693,445932,-693,manually,automated,https://corona.fo/?_l=en
Finland,2021-10-12,NA,0,NA,NA,manually,automated,https://thl.fi/fi/web/infektiotaudit-ja-rokotukset/ajankohtaista/ajankohtaista-koronaviruksesta-covid-19/tilannekatsaus-koronaviruksesta
FrenchPolynesia,2021-10-12,NA,0,NA,NA,manually,without_information,https://www.presidence.pf/?s=Coronavirus+COVID-19+le+point+sur+la+situation
Georgia,2021-10-12,NA,0,NA,NA,manually,not_yet_automated_daily,https://stopcov.ge/en/
Germany,2021-10-12,NA,0,NA,NA,manually,xslx,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/Okt_2020/Archiv_Oktober.html
Grenada,2021-10-12,NA,0,NA,NA,manually,facebook,https://web.facebook.com/HealthGrenada/photos/a.570448523487244/952200915312001
Guyana,2021-10-12,NA,0,NA,NA,manually,image,https://www.health.gov.gy/
Honduras,2021-10-12,NA,0,NA,NA,manually,image,http://www.bvs.hn/COVID-19/
HongKong,2021-10-12,NA,0,NA,NA,manually,pdf,https://www.chp.gov.hk/files/pdf/statistics_on_covid_19_testing.pdf
Iran,2021-10-12,33453877,0,NA,NA,manually,automated,http://irangov.ir/search?key=Health%20Ministry&title=1
Iraq,2021-10-12,15432035,0,NA,NA,manually,image,https://www.facebook.com/MOH.GOV.IQ
Ireland,2021-10-12,7692349,0,NA,NA,manually,automated,https://covid19ireland-geohive.hub.arcgis.com/pages/hospitals-icu--testing
Israel,2021-10-12,27513644,0,NA,NA,manually,not_yet_automated_daily,https://datadashboard.health.gov.il/COVID-19/general
Jamaica,2021-10-12,NA,0,NA,NA,manually,automated,https://www.moh.gov.jm/?s=COVID-19+Clinical+Management+Summary
Japan,2021-10-12,24429583,0,NA,NA,manually,automated,https://www.mhlw.go.jp/stf/houdou/houdou_list_202007.html
Jordan,2021-10-12,NA,0,NA,NA,manually,automated,https://corona.moh.gov.jo/en
Kazakhstan,2021-10-12,NA,0,NA,NA,manually,special_dashboard,https://hls.kz/
Kosovo,2021-10-12,NA,0,NA,NA,manually,facebook,https://datastudio.google.com/embed/u/0/reporting/2e546d77-8f7b-4c35-8502-38533aa0e9e8/page/MT0qB?fbclid=IwAR3bGrIV4hcD6Qe0CXv_f3ukuBKuNLkAacl4yPohGOvD5U_JjVERrnpqwes
Kuwait,2021-10-12,4500182,0,NA,NA,manually,twitter,https://twitter.com/KUWAIT_MOH
Kyrgyzstan,2021-10-12,NA,0,NA,NA,manually,image,https://www.instagram.com/daryger_sunushu/
LaoPeoplesDemocraticRepublic,2021-10-12,NA,0,NA,NA,manually,automated,https://www.covid19.gov.la/index.php
Latvia,2021-10-12,4523668,0,NA,NA,NA,NA,NA
Lithuania,2021-10-12,NA,0,NA,NA,manually,automated,https://osp.stat.gov.lt/praejusios-paros-covid-19-statistika
Luxembourg,2021-10-12,3549353,0,NA,NA,manually,not_yet_automated_daily,https://msan.gouvernement.lu/fr/graphiques-evolution.html
Malaysia,2021-10-12,NA,0,NA,NA,manually,facebook,https://www.facebook.com/kementeriankesihatanmalaysia/photos/10157490776386237
Maldives,2021-10-12,NA,0,NA,NA,manually,twitter,https://covid19.health.gov.mv/en/?c=0
Malta,2021-10-12,NA,0,NA,NA,manually,automated,https://timesofmalta.com/articles/view/watch-live-daily-coronavirus-briefing.790073
Moldova,2021-10-12,NA,0,NA,NA,manually,not_yet_automated,https://noi.md/md/societate/coronavirus-in-moldova-statistica-infectarilor-pe-teritoriul-tarii-428097
Montenegro,2021-10-12,NA,0,NA,NA,manually,without_information,https://www.ijzcg.me/me/coronainfocg
Myanmar,2021-10-12,4538563,0,NA,NA,manually,automated,https://mohs.gov.mm/Main/content/publication/2019-ncov
Netherlands,2021-10-12,NA,0,NA,NA,manually,not_yet_automated_weekly,https://www.rivm.nl/en/novel-coronavirus-covid-19/current-information
NewCaledonia,2021-10-12,NA,0,NA,NA,manually,automated,https://covid19.nc/point-de-situation-en-nouvelle-caledonie/
OccupiedPalestinianterritory,2021-10-12,2551938,0,NA,NA,manually,automated,https://corona.ps/
Oman,2021-10-12,NA,0,NA,NA,manually,twitter,https://twitter.com/OmanVSCovid19
Pakistan,2021-10-12,19997075,0,NA,NA,manually,automated,http://covid.gov.pk/
Panama,2021-10-12,3953247,0,NA,NA,manually,twitter,https://twitter.com/MINSAPma/status/1325931093804113925/photo/1
PapuaNewGuinea,2021-10-12,NA,0,NA,NA,manually,problems_webpage,https://covid19.info.gov.pg/
