country,source
Afghanistan,fetch
Antigua and Barbuda,fetch
Barbados,selenium
Jamaica,selenium
Jordan,selenium
Latvia,selenium
Malta,selenium
PapuaNewGuinea,selenium
SanMarino,selenium
Ukraine,selenium
