country,date,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,source
Albania,2021-02-23,NA,NA,NA,NA,selenium
Andorra,2021-02-23,NA,0,NA,0,manually
Angola,2021-02-23,NA,0,NA,0,manually
Argentina,2021-02-23,NA,NA,NA,NA,fetch
BurkinaFaso,2021-02-23,NA,0,NA,0,manually
Burundi,2021-02-23,NA,0,NA,0,manually
Canada,2021-02-23,NA,0,NA,0,manually
China,2021-02-23,NA,NA,NA,NA,manually
CostaRica,2021-02-23,NA,NA,NA,NA,manually
Cyprus,2021-02-23,NA,NA,NA,NA,manually
DominicanRepublic,2021-02-23,NA,NA,NA,NA,manually
FrenchPolynesia,2021-02-23,NA,NA,NA,NA,manually
Georgia,2021-02-23,NA,NA,NA,NA,manually
Germany,2021-02-23,NA,NA,NA,NA,manually
Grenada,2021-02-23,NA,NA,NA,NA,manually
Guyana,2021-02-23,NA,NA,NA,NA,manually
Honduras,2021-02-23,NA,NA,NA,NA,manually
HongKong,2021-02-23,NA,NA,NA,NA,manually
Israel,2021-02-23,NA,NA,NA,NA,manually
Kazakhstan,2021-02-23,NA,NA,NA,NA,manually
Kyrgyzstan,2021-02-23,NA,NA,NA,NA,manually
Latvia,2021-02-23,NA,0,NA,0,manually
Lithuania,2021-02-23,NA,0,NA,0,manually
Luxembourg,2021-02-23,NA,NA,NA,NA,manually
Malaysia,2021-02-23,NA,NA,NA,NA,manually
Montenegro,2021-02-23,NA,NA,NA,NA,manually
Netherlands,2021-02-23,NA,NA,NA,NA,manually
Oman,2021-02-23,NA,NA,NA,NA,manually
Pakistan,2021-02-23,NA,0,NA,0,manually
PapuaNewGuinea,2021-02-23,NA,NA,NA,NA,manually
Philippines,2021-02-23,NA,NA,NA,NA,manually
Russia,2021-02-23,NA,NA,NA,NA,NA
SaintKittsandNevis,2021-02-23,NA,NA,NA,NA,manually
SaintVincentandtheGrenadines,2021-02-23,NA,NA,NA,NA,manually
Scotland,2021-02-23,NA,NA,NA,NA,manually
Seychelles,2021-02-23,NA,0,NA,0,manually
SriLanka,2021-02-23,NA,0,NA,0,manually
Sudan,2021-02-23,NA,0,NA,0,manually
Sweden,2021-02-23,NA,NA,NA,NA,manually
Tajikistan,2021-02-23,NA,NA,NA,NA,manually
TheBahamas,2021-02-23,NA,NA,NA,NA,manually
UnitedRepublicofTanzania,2021-02-23,NA,0,NA,0,manually
Uzbekistan,2021-02-23,NA,NA,NA,NA,manually
Venezuela,2021-02-23,NA,NA,NA,NA,manually
Vietnam,2021-02-23,NA,NA,NA,NA,manually
