country,source
Afghanistan,fetch
Albania,selenium
Antigua and Barbuda,fetch
Barbados,selenium
Canada,selenium
Finland,selenium
Jordan,selenium
Latvia,selenium
Malta,selenium
Nepal,selenium
PapuaNewGuinea,selenium
SanMarino,selenium
