country,source
Botswana,selenium
Brunei,selenium
Cyprus,selenium
Dominican Republic,fetch
Estonia,selenium
FaroeIslands,selenium
Jamaica,selenium
Japan,selenium
Kenya,selenium
Latvia,selenium
Lesotho,selenium
Malawi,selenium
Mali,selenium
Mauritania,selenium
Morocco,selenium
Nepal,selenium
NorthMacedonia,selenium
Norway,selenium
OccupiedPalestinianTerritory,selenium
RepublicofKorea,selenium
SaintLucia,selenium
SierraLeone,selenium
Somalia,selenium
SouthAfrica,selenium
UnitedArabEmirates,selenium
UnitedKingdom,selenium
US,selenium
Zambia,selenium
