country,source
Brunei,selenium
Cyprus,selenium
FaroeIslands,selenium
Jamaica,selenium
Japan,selenium
Latvia,selenium
Lesotho,selenium
Nepal,selenium
Norway,selenium
OccupiedPalestinianTerritory,selenium
RepublicofKorea,selenium
UnitedArabEmirates,selenium
US,selenium
