country,date,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,source
Andorra,2021-02-21,NA,0,NA,0,manually
Angola,2021-02-21,NA,0,NA,0,manually
BurkinaFaso,2021-02-21,NA,0,NA,0,manually
Burundi,2021-02-21,NA,0,NA,0,manually
Cambodia,2021-02-21,115,-444929,115,-444929,selenium
China,2021-02-21,NA,0,NA,0,manually
Colombia,2021-02-21,NA,0,NA,0,manually
Cuba,2021-02-21,NA,0,NA,0,manually
Cyprus,2021-02-21,NA,0,NA,0,manually
Dominica,2021-02-21,NA,0,NA,0,manually
Estonia,2021-02-21,1271,-888303,1271,-888303,selenium
FrenchPolynesia,2021-02-21,NA,0,NA,0,manually
Georgia,2021-02-21,NA,0,NA,0,manually
Germany,2021-02-21,NA,0,NA,0,manually
Grenada,2021-02-21,NA,0,NA,0,manually
Guyana,2021-02-21,NA,0,NA,0,manually
Honduras,2021-02-21,NA,0,NA,0,manually
HongKong,2021-02-21,NA,0,NA,0,manually
Israel,2021-02-21,NA,0,NA,0,manually
Jordan,2021-02-21,NA,0,NA,0,manually
Kazakhstan,2021-02-21,NA,0,NA,0,manually
Kyrgyzstan,2021-02-21,NA,0,NA,0,manually
Latvia,2021-02-21,NA,0,NA,0,manually
Lithuania,2021-02-21,NA,0,NA,0,manually
Malaysia,2021-02-21,NA,0,NA,0,manually
Malta,2021-02-21,NA,0,NA,0,manually
Moldova,2021-02-21,NA,0,NA,0,manually
Montenegro,2021-02-21,NA,0,NA,0,manually
Netherlands,2021-02-21,NA,0,NA,0,manually
Oman,2021-02-21,NA,0,NA,0,manually
Panama,2021-02-21,NA,0,NA,0,manually
PapuaNewGuinea,2021-02-21,NA,0,NA,0,manually
Paraguay,2021-02-21,NA,0,NA,0,manually
Peru,2021-02-21,NA,0,NA,0,manually
Philippines,2021-02-21,NA,0,NA,0,manually
Poland,2021-02-21,NA,0,NA,0,manually
SaintKittsandNevis,2021-02-21,NA,0,NA,0,manually
SaintVincentandtheGrenadines,2021-02-21,NA,0,NA,0,manually
SanMarino,2021-02-21,NA,0,NA,0,manually
SaudiArabia,2021-02-21,NA,0,NA,0,manually
Scotland,2021-02-21,NA,0,NA,0,manually
Seychelles,2021-02-21,NA,0,NA,0,manually
SriLanka,2021-02-21,NA,0,NA,0,manually
Sudan,2021-02-21,NA,0,NA,0,manually
Sweden,2021-02-21,NA,0,NA,0,manually
Tajikistan,2021-02-21,NA,0,NA,0,manually
TheBahamas,2021-02-21,NA,0,NA,0,manually
TrinidadandTobago,2021-02-21,NA,0,NA,0,manually
UnitedRepublicofTanzania,2021-02-21,NA,0,NA,0,manually
Uzbekistan,2021-02-21,NA,0,NA,0,manually
Venezuela,2021-02-21,NA,0,NA,0,manually
Vietnam,2021-02-21,NA,0,NA,0,manually
