country,source
Afghanistan,fetch
Antigua and Barbuda,fetch
Canada,selenium
Denmark,selenium
Finland,selenium
Jordan,selenium
Latvia,selenium
Malta,selenium
PapuaNewGuinea,selenium
Somalia,selenium
SouthAfrica,selenium
SouthSudan,selenium
Venezuela,selenium
