country,date,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,source
Afghanistan,2021-03-16,NA,NA,NA,NA,fetch
Argentina,2021-03-16,NA,NA,NA,NA,fetch
Bhutan,2021-03-16,NA,NA,NA,NA,NA
Bolivia,2021-03-16,NA,NA,NA,NA,NA
Brazil,2021-03-16,NA,NA,NA,NA,selenium
BurkinaFaso,2021-03-16,16392,-147184,16392,-147184,selenium
China,2021-03-16,NA,NA,NA,NA,NA
Colombia,2021-03-16,NA,NA,NA,NA,NA
CostaRica,2021-03-16,NA,NA,NA,NA,NA
Croatia,2021-03-16,NA,NA,NA,NA,selenium
Cuba,2021-03-16,NA,NA,NA,NA,NA
Cyprus,2021-03-16,NA,NA,NA,NA,NA
Denmark,2021-03-16,NA,NA,NA,NA,selenium
Dominica,2021-03-16,NA,NA,NA,NA,NA
DominicanRepublic,2021-03-16,NA,NA,NA,NA,NA
Ecuador,2021-03-16,NA,NA,NA,NA,NA
FrenchPolynesia,2021-03-16,NA,NA,NA,NA,NA
Georgia,2021-03-16,NA,NA,NA,NA,NA
Germany,2021-03-16,NA,NA,NA,NA,NA
Grenada,2021-03-16,NA,NA,NA,NA,NA
Guyana,2021-03-16,NA,NA,NA,NA,NA
Honduras,2021-03-16,NA,NA,NA,NA,NA
HongKong,2021-03-16,NA,NA,NA,NA,NA
Indonesia,2021-03-16,NA,NA,NA,NA,selenium
Iraq,2021-03-16,NA,NA,NA,NA,NA
Ireland,2021-03-16,NA,NA,NA,NA,selenium
Israel,2021-03-16,NA,NA,NA,NA,NA
Jamaica,2021-03-16,NA,NA,NA,NA,NA
Japan,2021-03-16,NA,NA,NA,NA,NA
Jordan,2021-03-16,NA,NA,NA,NA,selenium
Kazakhstan,2021-03-16,NA,NA,NA,NA,NA
Kosovo,2021-03-16,NA,NA,NA,NA,NA
Kuwait,2021-03-16,NA,NA,NA,NA,NA
Kyrgyzstan,2021-03-16,NA,NA,NA,NA,NA
Lithuania,2021-03-16,NA,NA,NA,NA,selenium
Luxembourg,2021-03-16,NA,NA,NA,NA,NA
Malaysia,2021-03-16,NA,NA,NA,NA,NA
Maldives,2021-03-16,NA,NA,NA,NA,NA
Malta,2021-03-16,NA,NA,NA,NA,selenium
Moldova,2021-03-16,NA,NA,NA,NA,NA
Montenegro,2021-03-16,NA,NA,NA,NA,NA
Netherlands,2021-03-16,NA,NA,NA,NA,NA
NewCaledonia,2021-03-16,NA,NA,NA,NA,selenium
Oman,2021-03-16,NA,NA,NA,NA,NA
Panama,2021-03-16,NA,NA,NA,NA,NA
Paraguay,2021-03-16,NA,NA,NA,NA,NA
Peru,2021-03-16,NA,NA,NA,NA,NA
Philippines,2021-03-16,NA,NA,NA,NA,NA
Poland,2021-03-16,NA,NA,NA,NA,NA
Russia,2021-03-16,NA,NA,NA,NA,NA
SaintVincentandtheGrenadines,2021-03-16,NA,NA,NA,NA,NA
SaudiArabia,2021-03-16,NA,NA,NA,NA,NA
Scotland,2021-03-16,NA,NA,NA,NA,NA
Singapore,2021-03-16,NA,NA,NA,NA,selenium
SriLanka,2021-03-16,NA,NA,NA,NA,selenium
Sweden,2021-03-16,NA,NA,NA,NA,NA
Tajikistan,2021-03-16,NA,NA,NA,NA,NA
Thailand,2021-03-16,NA,NA,NA,NA,NA
TheBahamas,2021-03-16,NA,NA,NA,NA,NA
TrinidadandTobago,2021-03-16,NA,NA,NA,NA,NA
US,2021-03-16,363824818,-10618039,363824818,-10618039,selenium
Uzbekistan,2021-03-16,NA,NA,NA,NA,NA
Vietnam,2021-03-16,NA,NA,NA,NA,NA
