country,source
Brunei,selenium
Cyprus,selenium
Ecuador,selenium
Estonia,selenium
FaroeIslands,selenium
Jamaica,selenium
Japan,selenium
Lesotho,selenium
Mali,selenium
Nepal,selenium
Nigeria,selenium
Norway,selenium
OccupiedPalestinianTerritory,selenium
SaintLucia,selenium
UnitedArabEmirates,selenium
US,selenium
