country,source
Afghanistan,fetch
Algeria,selenium
Angola,selenium
Antigua and Barbuda,fetch
Barbados,selenium
Benin,selenium
Botswana,selenium
BurkinaFaso,selenium
Burundi,selenium
Cameroon,selenium
CapeVerde,selenium
CentralAfricanRepublic,selenium
Chad,selenium
Comoros,selenium
Congo,selenium
CotedIvoire,selenium
DemocraticRepublicoftheCongo,selenium
Denmark,selenium
Djibouti,selenium
Egypt,selenium
EquatorialGuinea,selenium
Eritrea,selenium
Eswatini,selenium
Ethiopia,selenium
Gabon,selenium
Ghana,selenium
Guinea,selenium
GuineaBissau,selenium
Iran,selenium
Jordan,selenium
Kenya,selenium
Latvia,selenium
Lesotho,selenium
Liberia,selenium
Libya,selenium
Lithuania,selenium
Madagascar,selenium
Malawi,selenium
Mali,selenium
Malta,selenium
Mauritania,selenium
Morocco,selenium
Mozambique,selenium
Namibia,selenium
Niger,selenium
Nigeria,selenium
OccupiedPalestinianTerritory,selenium
PapuaNewGuinea,selenium
Rwanda,selenium
SaoTomeandPrincipe,selenium
Senegal,selenium
Seychelles,selenium
SierraLeone,selenium
Singapore,selenium
Somalia,selenium
SouthAfrica,selenium
SouthSudan,selenium
Sudan,selenium
TheGambia,selenium
Togo,selenium
Uganda,selenium
UnitedRepublicofTanzania,selenium
WesternSahara,selenium
Zambia,selenium
Zimbabwe,selenium
