country,date,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,source
Albania,2021-02-24,NA,0,NA,0,manually
Andorra,2021-02-24,NA,0,NA,0,manually
Angola,2021-02-24,NA,0,NA,0,manually
BurkinaFaso,2021-02-24,NA,0,NA,0,manually
Burundi,2021-02-24,NA,0,NA,0,manually
Canada,2021-02-24,NA,0,NA,0,manually
Chile,2021-02-24,NA,0,NA,0,manually
China,2021-02-24,NA,0,NA,0,manually
CostaRica,2021-02-24,NA,0,NA,0,manually
Cyprus,2021-02-24,NA,0,NA,0,manually
DominicanRepublic,2021-02-24,NA,0,NA,0,manually
FrenchPolynesia,2021-02-24,NA,0,NA,0,manually
Georgia,2021-02-24,NA,0,NA,0,manually
Germany,2021-02-24,NA,0,NA,0,manually
Grenada,2021-02-24,NA,0,NA,0,manually
Guyana,2021-02-24,NA,0,NA,0,manually
Honduras,2021-02-24,NA,0,NA,0,manually
HongKong,2021-02-24,NA,0,NA,0,manually
Israel,2021-02-24,NA,0,NA,0,manually
Japan,2021-02-24,NA,0,NA,0,manually
Kazakhstan,2021-02-24,NA,0,NA,0,manually
Kyrgyzstan,2021-02-24,NA,0,NA,0,manually
Latvia,2021-02-24,NA,0,NA,0,manually
Lithuania,2021-02-24,NA,0,NA,0,manually
Luxembourg,2021-02-24,NA,0,NA,0,manually
Malaysia,2021-02-24,NA,0,NA,0,manually
Mauritania,2021-02-24,212206,-20518,212206,-20518,selenium
Montenegro,2021-02-24,NA,0,NA,0,manually
Netherlands,2021-02-24,NA,0,NA,0,manually
Oman,2021-02-24,NA,0,NA,0,manually
Pakistan,2021-02-24,NA,0,NA,0,manually
PapuaNewGuinea,2021-02-24,NA,0,NA,0,manually
Philippines,2021-02-24,NA,0,NA,0,manually
Russia,2021-02-24,NA,0,NA,0,manually
SaintKittsandNevis,2021-02-24,NA,0,NA,0,manually
SaintVincentandtheGrenadines,2021-02-24,NA,0,NA,0,manually
SaudiArabia,2021-02-24,NA,0,NA,0,manually
Scotland,2021-02-24,NA,0,NA,0,manually
Seychelles,2021-02-24,NA,0,NA,0,manually
SriLanka,2021-02-24,NA,0,NA,0,manually
Sudan,2021-02-24,NA,0,NA,0,manually
Sweden,2021-02-24,NA,0,NA,0,manually
Tajikistan,2021-02-24,NA,0,NA,0,manually
TheBahamas,2021-02-24,NA,0,NA,0,manually
UnitedRepublicofTanzania,2021-02-24,NA,0,NA,0,manually
Uzbekistan,2021-02-24,NA,0,NA,0,manually
Vietnam,2021-02-24,NA,0,NA,0,manually
