country,source
Brunei,selenium
Cyprus,selenium
Estonia,selenium
FaroeIslands,selenium
Jamaica,selenium
Japan,selenium
Latvia,selenium
Lesotho,selenium
Lithuania,selenium
Malawi,selenium
Nepal,selenium
Norway,selenium
OccupiedPalestinianTerritory,selenium
SaintLucia,selenium
UnitedArabEmirates,selenium
US,selenium
