country,source
Brunei,selenium
Cyprus,selenium
Estonia,selenium
Eswatini,selenium
Ethiopia,selenium
FaroeIslands,selenium
GuineaBissau,selenium
Jamaica,selenium
Japan,selenium
Latvia,selenium
Lesotho,selenium
Malawi,selenium
Mali,selenium
Mauritania,selenium
Mozambique,selenium
Nepal,selenium
NorthMacedonia,selenium
Norway,selenium
OccupiedPalestinianTerritory,selenium
SaintLucia,selenium
SierraLeone,selenium
Somalia,selenium
SouthAfrica,selenium
UnitedArabEmirates,selenium
UnitedKingdom,selenium
US,selenium
WesternSahara,selenium
