country,source
Afghanistan,fetch
Algeria,selenium
Angola,selenium
Antigua and Barbuda,fetch
Barbados,selenium
Benin,selenium
Botswana,selenium
BurkinaFaso,selenium
Burundi,selenium
Cameroon,selenium
CapeVerde,selenium
CentralAfricanRepublic,selenium
Chad,selenium
Comoros,selenium
Congo,selenium
CotedIvoire,selenium
DemocraticRepublicoftheCongo,selenium
Denmark,selenium
Djibouti,selenium
Egypt,selenium
EquatorialGuinea,selenium
Eritrea,selenium
Eswatini,selenium
Ethiopia,selenium
Gabon,selenium
Ghana,selenium
Guinea,selenium
GuineaBissau,selenium
Iran,selenium
Kenya,selenium
Latvia,selenium
Lesotho,selenium
Liberia,selenium
Libya,selenium
Madagascar,selenium
Malawi,selenium
Mali,selenium
Mauritania,selenium
Mauritius,selenium
Morocco,selenium
Mozambique,selenium
Namibia,selenium
Niger,selenium
Nigeria,selenium
PapuaNewGuinea,selenium
Rwanda,selenium
SanMarino,selenium
SaoTomeandPrincipe,selenium
Senegal,selenium
Seychelles,selenium
SierraLeone,selenium
Somalia,selenium
SouthAfrica,selenium
SouthSudan,selenium
Sudan,selenium
TheGambia,selenium
Togo,selenium
Tunisia,selenium
Uganda,selenium
UnitedArabEmirates,selenium
UnitedRepublicofTanzania,selenium
WesternSahara,selenium
Zambia,selenium
Zimbabwe,selenium
