country,source
Afghanistan,fetch
Albania,selenium
Antigua and Barbuda,fetch
Barbados,selenium
Finland,selenium
Hungary,selenium
Jordan,selenium
Latvia,selenium
Malta,selenium
Pakistan,selenium
PapuaNewGuinea,selenium
Portugal,selenium
SanMarino,selenium
