country,date,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,source
Andorra,2021-02-22,NA,0,NA,0,manually
Angola,2021-02-22,NA,0,NA,0,manually
BurkinaFaso,2021-02-22,NA,0,NA,0,manually
Burundi,2021-02-22,NA,0,NA,0,manually
China,2021-02-22,NA,0,NA,0,manually
Colombia,2021-02-22,NA,0,NA,0,manually
Cuba,2021-02-22,2281712,-18718,2281712,-18718,manually
Cyprus,2021-02-22,NA,0,NA,0,manually
Dominica,2021-02-22,NA,0,NA,0,manually
FrenchPolynesia,2021-02-22,NA,0,NA,0,manually
Georgia,2021-02-22,NA,0,NA,0,manually
Germany,2021-02-22,NA,0,NA,0,manually
Grenada,2021-02-22,NA,0,NA,0,manually
Guyana,2021-02-22,NA,0,NA,0,manually
Honduras,2021-02-22,NA,0,NA,0,manually
HongKong,2021-02-22,NA,0,NA,0,manually
Jordan,2021-02-22,NA,0,NA,0,manually
Kyrgyzstan,2021-02-22,NA,0,NA,0,manually
Latvia,2021-02-22,NA,0,NA,0,manually
Lithuania,2021-02-22,NA,0,NA,0,manually
Malaysia,2021-02-22,NA,0,NA,0,manually
Malta,2021-02-22,NA,0,NA,0,manually
Moldova,2021-02-22,693078,-3560,693078,-3560,manually
Montenegro,2021-02-22,NA,0,NA,0,manually
Netherlands,2021-02-22,NA,0,NA,0,manually
Oman,2021-02-22,NA,0,NA,0,manually
Panama,2021-02-22,1856433,-9276,1856433,-9276,manually
PapuaNewGuinea,2021-02-22,NA,0,NA,0,manually
Paraguay,2021-02-22,NA,0,NA,0,manually
Peru,2021-02-22,NA,0,NA,0,manually
Philippines,2021-02-22,NA,0,NA,0,manually
Russia,2021-02-22,NA,0,NA,0,manually
SaintKittsandNevis,2021-02-22,NA,0,NA,0,manually
SaintVincentandtheGrenadines,2021-02-22,NA,0,NA,0,manually
SanMarino,2021-02-22,40120,-503,40120,-503,selenium
Scotland,2021-02-22,NA,0,NA,0,manually
Seychelles,2021-02-22,NA,0,NA,0,manually
SriLanka,2021-02-22,NA,0,NA,0,manually
Sudan,2021-02-22,NA,0,NA,0,manually
Sweden,2021-02-22,NA,0,NA,0,manually
Tajikistan,2021-02-22,NA,0,NA,0,manually
TrinidadandTobago,2021-02-22,93810,-1532,93810,-1532,manually
UnitedRepublicofTanzania,2021-02-22,NA,0,NA,0,manually
Uzbekistan,2021-02-22,NA,0,NA,0,manually
Vietnam,2021-02-22,NA,0,NA,0,manually
