country,date,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,source
China,2021-04-18,NA,NA,NA,NA,manually
DemocraticRepublicoftheCongo,2021-04-18,144508,-1289825,144508,-1289825,manually
Denmark,2021-04-18,25326945,-3507027,25326945,-3507027,manually
Estonia,2021-04-18,1,-1219465,1,-1219465,selenium
FrenchPolynesia,2021-04-18,NA,NA,NA,NA,manually
Montenegro,2021-04-18,NA,NA,NA,NA,manually
Netherlands,2021-04-18,NA,NA,NA,NA,manually
Oman,2021-04-18,NA,NA,NA,NA,manually
Scotland,2021-04-18,NA,NA,NA,NA,manually
Tajikistan,2021-04-18,NA,NA,NA,NA,manually
Uzbekistan,2021-04-18,NA,NA,NA,NA,manually
