country,date,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,source
Barbados,2021-03-20,24297,-110724,24297,-110724,manually
Belize,2021-03-20,91041,-1668,91041,-1668,manually
Brazil,2021-03-20,NA,NA,NA,NA,manually
China,2021-03-20,NA,NA,NA,NA,manually
Ecuador,2021-03-20,1,-1093710,1,-1093710,selenium
FrenchPolynesia,2021-03-20,NA,NA,NA,NA,manually
Germany,2021-03-20,NA,NA,NA,NA,manually
Ghana,2021-03-20,NA,NA,NA,NA,manually
Guyana,2021-03-20,NA,NA,NA,NA,manually
Jordan,2021-03-20,NA,NA,NA,NA,manually
Malaysia,2021-03-20,NA,NA,NA,NA,manually
Montenegro,2021-03-20,NA,NA,NA,NA,manually
Netherlands,2021-03-20,NA,NA,NA,NA,manually
Oman,2021-03-20,NA,NA,NA,NA,manually
Pakistan,2021-03-20,NA,NA,NA,NA,manually
Scotland,2021-03-20,NA,NA,NA,NA,manually
Tajikistan,2021-03-20,NA,NA,NA,NA,manually
Uzbekistan,2021-03-20,NA,NA,NA,NA,manually
