country,date,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,source,comentarios,frecuencia,cambiar status
Myanmar,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Namibia,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Namibia,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Netherlands,2022-01-19,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,2022-01-20,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,2022-01-21,NA,NA,NA,NA,NA,NA,NA,NA
NewCaledonia,2021-08-15,40437,-5,40437,-5,manually,NA,NA,NA
NewCaledonia,2022-01-19,NA,NA,NA,NA,selenium,NA,NA,NA
NewCaledonia,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
NewCaledonia,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Niger,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Niger,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Nigeria,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Nigeria,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Norway,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Norway,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
OccupiedPalestinianterritory,2022-01-19,NA,NA,NA,NA,selenium,NA,NA,NA
OccupiedPalestinianterritory,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
OccupiedPalestinianterritory,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Oman,2022-01-19,NA,NA,NA,NA,NA,NA,NA,NA
Oman,2022-01-20,NA,NA,NA,NA,NA,NA,NA,NA
Oman,2022-01-21,NA,NA,NA,NA,NA,NA,NA,NA
Pakistan,2022-01-19,NA,NA,NA,NA,selenium,NA,NA,NA
Pakistan,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Pakistan,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Panama,2022-01-19,NA,NA,NA,NA,NA,NA,NA,NA
Panama,2022-01-20,NA,NA,NA,NA,NA,NA,NA,NA
Panama,2022-01-21,NA,NA,NA,NA,NA,NA,NA,NA
PapuaNewGuinea,2022-01-19,NA,NA,NA,NA,selenium,NA,NA,NA
PapuaNewGuinea,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
PapuaNewGuinea,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Paraguay,2022-01-19,NA,NA,NA,NA,NA,NA,NA,NA
Paraguay,2022-01-20,NA,NA,NA,NA,NA,NA,NA,NA
Paraguay,2022-01-21,NA,NA,NA,NA,NA,NA,NA,NA
Peru,2021-12-25,2279299,-18846102,2279299,-18846102,manually,NA,NA,NA
Peru,2022-01-19,NA,NA,NA,NA,selenium,NA,NA,NA
Peru,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Peru,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Philippines,2022-01-19,NA,NA,NA,NA,NA,NA,NA,NA
Philippines,2022-01-20,NA,NA,NA,NA,NA,NA,NA,NA
Philippines,2022-01-21,NA,NA,NA,NA,NA,NA,NA,NA
Poland,2022-01-19,NA,NA,NA,NA,NA,NA,NA,NA
Poland,2022-01-20,NA,NA,NA,NA,NA,NA,NA,NA
Poland,2022-01-21,NA,NA,NA,NA,NA,NA,NA,NA
Portugal,2021-09-24,18,-18125543,18,-18125543,selenium,NA,NA,NA
Portugal,2021-12-26,25,-25114789,25,-25114789,selenium,NA,NA,NA
Portugal,2021-12-28,25,-25252213,25,-25252213,manually,NA,NA,NA
RepublicofKorea,2021-06-29,NA,NA,NA,NA,selenium,NA,NA,NA
RepublicofKorea,2021-06-30,NA,NA,NA,NA,manually,NA,NA,NA
RepublicofKorea,2021-07-01,NA,NA,NA,NA,selenium,NA,NA,NA
RepublicofKorea,2022-01-19,NA,NA,NA,NA,selenium,NA,NA,NA
RepublicofKorea,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
RepublicofKorea,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Russia,2022-01-19,NA,NA,NA,NA,NA,NA,NA,NA
Russia,2022-01-20,NA,NA,NA,NA,NA,NA,NA,NA
Russia,2022-01-21,NA,NA,NA,NA,NA,NA,NA,NA
Rwanda,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Rwanda,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
SaintKittsandNevis,2022-01-19,NA,NA,NA,NA,selenium,NA,NA,NA
SaintKittsandNevis,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
SaintKittsandNevis,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
SaintLucia,2021-06-30,NA,NA,NA,NA,selenium,NA,NA,NA
SaintLucia,2021-07-01,NA,NA,NA,NA,manually,NA,NA,NA
SaintVincentandtheGrenadines,2022-01-19,NA,NA,NA,NA,NA,NA,NA,NA
SaintVincentandtheGrenadines,2022-01-20,NA,NA,NA,NA,NA,NA,NA,NA
SaintVincentandtheGrenadines,2022-01-21,NA,NA,NA,NA,NA,NA,NA,NA
SanMarino,2021-01-10,8604,0,8604,-23102,NA,NA,NA,NA
SanMarino,2022-01-19,NA,NA,NA,NA,selenium,NA,NA,NA
SanMarino,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
SanMarino,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
SaoTomeandPrincipe,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
SaoTomeandPrincipe,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Scotland,2022-01-19,NA,NA,NA,NA,NA,NA,NA,NA
Scotland,2022-01-20,NA,NA,NA,NA,NA,NA,NA,NA
Scotland,2022-01-21,NA,NA,NA,NA,NA,NA,NA,NA
Senegal,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Senegal,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Seychelles,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Seychelles,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
SierraLeone,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
SierraLeone,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Singapore,2022-01-19,NA,NA,NA,NA,selenium,NA,NA,NA
Singapore,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Singapore,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Slovakia,2022-01-19,NA,NA,NA,NA,selenium,NA,NA,NA
Slovakia,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Slovakia,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Slovenia,2022-01-19,NA,NA,NA,NA,selenium,NA,NA,NA
Slovenia,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Slovenia,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Somalia,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Somalia,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
SouthAfrica,2021-12-24,20713334,-61874,20713334,-61874,manually,NA,NA,NA
SouthAfrica,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
SouthAfrica,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
SouthSudan,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
SouthSudan,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Spain,2021-07-01,NA,NA,NA,NA,selenium,NA,NA,NA
Spain,2021-07-02,NA,NA,NA,NA,manually,NA,NA,NA
Spain,2021-07-03,NA,NA,NA,NA,manually,NA,NA,NA
Spain,2021-07-04,NA,NA,NA,NA,manually,NA,NA,NA
Spain,2021-07-05,NA,NA,NA,NA,manually,NA,NA,NA
Spain,2021-07-06,NA,NA,NA,NA,selenium,NA,NA,NA
Spain,2022-01-19,NA,NA,NA,NA,selenium,NA,NA,NA
Spain,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Spain,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
SriLanka,2022-01-19,NA,NA,NA,NA,selenium,NA,NA,NA
SriLanka,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
SriLanka,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Sudan,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Sudan,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Sweden,2022-01-19,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,2022-01-20,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,2022-01-21,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,2021-12-15,13482379,-207708,13482379,-207708,manually,NA,NA,NA
Switzerland,2022-01-12,15229894,-221689,15229894,-221689,selenium,NA,NA,NA
Taiwan,2021-07-06,NA,NA,NA,NA,selenium,NA,NA,NA
Taiwan,2021-07-07,NA,NA,NA,NA,manually,NA,NA,NA
Taiwan,2021-07-08,NA,NA,NA,NA,manually,NA,NA,NA
Taiwan,2021-07-09,NA,NA,NA,NA,manually,NA,NA,NA
Taiwan,2021-07-10,NA,NA,NA,NA,selenium,NA,NA,NA
Taiwan,2021-12-22,NA,NA,NA,NA,NA,NA,NA,NA
Taiwan,2021-12-23,NA,NA,NA,NA,selenium,NA,NA,NA
Tajikistan,2022-01-19,NA,NA,NA,NA,NA,NA,NA,NA
Tajikistan,2022-01-20,NA,NA,NA,NA,NA,NA,NA,NA
Tajikistan,2022-01-21,NA,NA,NA,NA,NA,NA,NA,NA
Thailand,2022-01-19,NA,NA,NA,NA,selenium,NA,NA,NA
Thailand,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Thailand,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
TheBahamas,2022-01-19,NA,NA,NA,NA,NA,NA,NA,NA
TheBahamas,2022-01-20,NA,NA,NA,NA,NA,NA,NA,NA
TheBahamas,2022-01-21,NA,NA,NA,NA,NA,NA,NA,NA
TheGambia,2021-11-19,120595,-1259,120595,-1259,manually,NA,NA,NA
TheGambia,2021-12-21,128407,-798,128407,-798,manually,NA,NA,NA
TheGambia,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
TheGambia,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Togo,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Togo,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
TrinidadandTobago,2022-01-19,NA,NA,NA,NA,NA,NA,NA,NA
TrinidadandTobago,2022-01-20,NA,NA,NA,NA,NA,NA,NA,NA
TrinidadandTobago,2022-01-21,NA,NA,NA,NA,NA,NA,NA,NA
Tunisia,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Tunisia,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Turkey,2022-01-19,NA,NA,NA,NA,selenium,NA,NA,NA
Turkey,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Turkey,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Uganda,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Uganda,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
UnitedArabEmirates,2021-06-29,NA,NA,NA,NA,selenium,NA,NA,NA
UnitedArabEmirates,2021-06-30,NA,NA,NA,NA,manually,NA,NA,NA
UnitedArabEmirates,2021-07-01,NA,NA,NA,NA,selenium,NA,NA,NA
UnitedArabEmirates,2021-07-07,NA,NA,NA,NA,selenium,NA,NA,NA
UnitedArabEmirates,2021-07-08,NA,NA,NA,NA,manually,NA,NA,NA
UnitedArabEmirates,2021-07-15,NA,NA,NA,NA,selenium,NA,NA,NA
UnitedArabEmirates,2021-07-16,NA,NA,NA,NA,manually,NA,NA,NA
UnitedArabEmirates,2021-07-17,NA,NA,NA,NA,selenium,NA,NA,NA
UnitedArabEmirates,2021-12-01,NA,NA,NA,NA,selenium,NA,NA,NA
UnitedArabEmirates,2021-12-02,NA,NA,NA,NA,manually,NA,NA,NA
UnitedArabEmirates,2021-12-03,NA,NA,NA,NA,manually,NA,NA,NA
UnitedArabEmirates,2021-12-04,NA,NA,NA,NA,manually,NA,NA,NA
UnitedArabEmirates,2021-12-05,NA,NA,NA,NA,manually,NA,NA,NA
UnitedArabEmirates,2021-12-06,NA,NA,NA,NA,manually,NA,NA,NA
UnitedArabEmirates,2021-12-07,NA,NA,NA,NA,manually,NA,NA,NA
UnitedArabEmirates,2021-12-08,NA,NA,NA,NA,manually,NA,NA,NA
UnitedArabEmirates,2021-12-09,NA,NA,NA,NA,manually,NA,NA,NA
UnitedArabEmirates,2021-12-10,NA,NA,NA,NA,manually,NA,NA,NA
UnitedArabEmirates,2021-12-11,NA,NA,NA,NA,manually,NA,NA,NA
UnitedArabEmirates,2021-12-12,NA,NA,NA,NA,selenium,NA,NA,NA
UnitedKingdom,2022-01-19,NA,NA,NA,NA,selenium,NA,NA,NA
UnitedKingdom,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
UnitedKingdom,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
UnitedRepublicofTanzania,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
UnitedRepublicofTanzania,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Uruguay,2022-01-19,NA,NA,NA,NA,selenium,NA,NA,NA
Uruguay,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Uruguay,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Uzbekistan,2022-01-19,NA,NA,NA,NA,NA,NA,NA,NA
Uzbekistan,2022-01-20,NA,NA,NA,NA,NA,NA,NA,NA
Uzbekistan,2022-01-21,NA,NA,NA,NA,NA,NA,NA,NA
Venezuela,2022-01-19,NA,NA,NA,NA,selenium,NA,NA,NA
Venezuela,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Venezuela,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Vietnam,2022-01-19,NA,NA,NA,NA,NA,NA,NA,NA
Vietnam,2022-01-20,NA,NA,NA,NA,NA,NA,NA,NA
Vietnam,2022-01-21,NA,NA,NA,NA,NA,NA,NA,NA
WesternSahara,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
WesternSahara,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Zambia,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Zambia,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
Zimbabwe,2022-01-20,NA,NA,NA,NA,selenium,NA,NA,NA
Zimbabwe,2022-01-21,NA,NA,NA,NA,selenium,NA,NA,NA
