country,date,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,source
Andorra,2021-02-19,NA,NA,NA,NA,selenium
Angola,2021-02-19,NA,NA,NA,NA,selenium
Argentina,2021-02-19,4811498,-1777148,4811498,-1777148,fetch
Bhutan,2021-02-19,NA,NA,NA,NA,NA
Bolivia,2021-02-19,NA,NA,NA,NA,NA
Brunei,2021-02-19,NA,NA,NA,NA,selenium
BurkinaFaso,2021-02-19,NA,NA,NA,NA,selenium
Burundi,2021-02-19,NA,NA,NA,NA,selenium
Canada,2021-02-19,NA,NA,NA,NA,selenium
Chile,2021-02-19,NA,NA,NA,NA,selenium
China,2021-02-19,NA,NA,NA,NA,NA
Colombia,2021-02-19,NA,NA,NA,NA,NA
CostaRica,2021-02-19,NA,NA,NA,NA,NA
Cuba,2021-02-19,NA,NA,NA,NA,NA
Cyprus,2021-02-19,NA,NA,NA,NA,NA
Dominica,2021-02-19,NA,NA,NA,NA,NA
DominicanRepublic,2021-02-19,NA,NA,NA,NA,NA
Estonia,2021-02-19,123,-872788,123,-872788,selenium
FrenchPolynesia,2021-02-19,NA,NA,NA,NA,NA
Georgia,2021-02-19,NA,NA,NA,NA,NA
Germany,2021-02-19,NA,NA,NA,NA,NA
Grenada,2021-02-19,NA,NA,NA,NA,NA
Guyana,2021-02-19,NA,NA,NA,NA,NA
Honduras,2021-02-19,NA,NA,NA,NA,NA
HongKong,2021-02-19,NA,NA,NA,NA,NA
Iraq,2021-02-19,NA,NA,NA,NA,NA
Israel,2021-02-19,NA,NA,NA,NA,NA
Jamaica,2021-02-19,NA,NA,NA,NA,NA
Japan,2021-02-19,NA,NA,NA,NA,NA
Jordan,2021-02-19,NA,NA,NA,NA,selenium
Kazakhstan,2021-02-19,NA,NA,NA,NA,NA
Kosovo,2021-02-19,NA,NA,NA,NA,NA
Kuwait,2021-02-19,NA,NA,NA,NA,NA
Kyrgyzstan,2021-02-19,NA,NA,NA,NA,NA
Latvia,2021-02-19,NA,NA,NA,NA,selenium
Lithuania,2021-02-19,NA,NA,NA,NA,selenium
Luxembourg,2021-02-19,NA,NA,NA,NA,NA
Malaysia,2021-02-19,NA,NA,NA,NA,NA
Maldives,2021-02-19,NA,NA,NA,NA,NA
Malta,2021-02-19,NA,NA,NA,NA,selenium
Moldova,2021-02-19,NA,NA,NA,NA,NA
Montenegro,2021-02-19,NA,NA,NA,NA,NA
Netherlands,2021-02-19,NA,NA,NA,NA,NA
Oman,2021-02-19,NA,NA,NA,NA,NA
Panama,2021-02-19,NA,NA,NA,NA,NA
PapuaNewGuinea,2021-02-19,NA,NA,NA,NA,selenium
Paraguay,2021-02-19,NA,NA,NA,NA,NA
Peru,2021-02-19,NA,NA,NA,NA,NA
Philippines,2021-02-19,NA,NA,NA,NA,NA
Poland,2021-02-19,NA,NA,NA,NA,NA
Russia,2021-02-19,NA,NA,NA,NA,NA
SaintKittsandNevis,2021-02-19,NA,NA,NA,NA,NA
SaintVincentandtheGrenadines,2021-02-19,NA,NA,NA,NA,NA
SaudiArabia,2021-02-19,48779,-13059147,48779,-13059147,selenium
Scotland,2021-02-19,NA,NA,NA,NA,NA
Seychelles,2021-02-19,NA,NA,NA,NA,selenium
SriLanka,2021-02-19,NA,NA,NA,NA,selenium
Sudan,2021-02-19,NA,NA,NA,NA,selenium
Sweden,2021-02-19,NA,NA,NA,NA,NA
Tajikistan,2021-02-19,NA,NA,NA,NA,NA
Thailand,2021-02-19,1090068,-1583409,1090068,-1583409,selenium
TheBahamas,2021-02-19,NA,NA,NA,NA,NA
TrinidadandTobago,2021-02-19,NA,NA,NA,NA,NA
UnitedRepublicofTanzania,2021-02-19,NA,NA,NA,NA,selenium
Uzbekistan,2021-02-19,NA,NA,NA,NA,NA
Venezuela,2021-02-19,NA,NA,NA,NA,selenium
Vietnam,2021-02-19,NA,NA,NA,NA,NA
